음식점,사용자명,리뷰,_merge
주공 장위직영,ahaha23,"집 앞에 생겨서 와봄
아이가 고기 맛있다고 잘 먹음
아이들 숟가락 포크 귀엽고
뽀로로 쥬스도 주심
새로생긴곳이라 깨끗함
",both
주공 장위직영,ryu****,"진짜 맛잇어용 두번째 방문..ㅎㅎ 볶음밥도 마시씀
굿굿굿
",both
주공 장위직영,jhe****,직원분친절하시고 설명도잘해주시고 고기도 맛있어요 복고인테리어도 딱마메들고 깔끔하고좋네요~~,both
주공 장위직영,뽀뽀양,집앞이라 삼겹살 생각나서 들렸는데 고기도 신선하고 곁들여먹는 양념채소도 신선해서 너무좋았습니다 매장도 넖어서 붐비지않고 좋았어요,both
주공 장위직영,깡총구리89,"동네에 맛집 있다고 왔는데
분위기도 맛도 좋네요😃👍",both
주공 장위직영,필그림631,고기가  얇아서 씹기에좋아요. 가격저렴하고. 김치콩나물다 맛있네요. 뮬쯜면도 맛있어요,both
주공 장위직영,zl****,좋아요!,both
주공 장위직영,gift04,"크고 깔끔하고 직원분이 친절해서 좋네요ㅎㅎ콩나물 구워먹는것도 좋아하는데 나와서 넘 좋습니당^^
",both
주공 장위직영,By instinct,동네맛집!,both
주공 장위직영,은까빙,"미나리 삽겹살 너무 좋아하는데 근처에 이런곳이 생겨서 너무 좋아요~~
미나리 향긋한 향과 삼겹살은 진리!!!
재방문의사 있어용! ",both
주공 장위직영,tyrant,"고추장찌개가 너무 맛있네요
애견동반 가능한 점도 무척 좋아요
강아지랑 북서울꿈의숲 산책 후 종종 방문할 것 같아요",both
주공 장위직영,CCccccccc,"고기가 많이 얇은편이라 식감도 별로고 맛도 그닥입니다 음악이 넘 커서 완전 정신없어요 
",both
주공 장위직영,나는현,생각보다 양이 적어 많이 시켜야했지만 대화하고 먹기 좋은곳 같습니다.  목살보다는 삼겹살이 맛있어요,both
주공 장위직영,대지꽁꽁,"아들친구와 친구맘 그리고 우리 모자 첫 방문.
사진에서 본것과 같이 너무 신선하고 맛있다고 순삭하는 바람에  휑하지만 진짜 맛있었던 집~
내일은 신랑이랑 가야지~~하고 집에 와서 신랑한테 엄청 자랑함",both
주공 장위직영,gracejji,레트로하고 7080노래에 갓성비넘치네요 특히 고추장 찌개가 ㅈㅁㅌ 이건 꼭 드세요 ♡,both
주공 장위직영,블리블리61,너무 맛있어용 감사합니다 번창하세요 굿굿 분위기 좋아요 ,both
주공 장위직영,북극곰세마리,너무 만족....딴데가서 모임했음 40이상 나올것을 바배부르게 먹고 30도 안되게 먹음 ㅎㅎ,both
주공 장위직영,초코송이1020,고기는 뭐 다른 가게랑 다를 거 없이 비슷하고 가격도 저렴하게 나와있어서 보니깐 양이 적고 고기가 많이 얇아요 쫄면도 시켰는데 양이 6천 원짜리 치고 많이 적더라고요 된장찌개도 두부랑 국물에 비해서 파가 너무너무 많더라고요 나쁘지는 않지만 많이 파세요,both
주공 장위직영,송향5426,굿,both
주공 장위직영,냠냠7126,"동네 분위기 맛집!!야장 삼겹살 좋아요~
미나리 김치 콩나물 구이랑 같이해서 더 맛있는 삼교비입니다~~",both
주공 장위직영,Won1111,"지나가다 항상 사람많아서 들렸는데 매장도 깨끗하게 맛도 너무 좋아요❤️
동네에 맛집 생겨서 너무 좋습니다",both
주공 장위직영,아롱90,삼겹살이랑 목살 시키고 미나리바가지 주문해서 먹었어요~! 고기와 미나리조합 강추!! 입니다~! ,both
주공 장위직영,h_****,"고기 맛있고 사장님, 직원분들 모두 친절하세요",both
주공 장위직영,여미야미,"사장님도 직원분들도 너무너무 친절하시고, 고기도 질 좋고 맛있었어요 ! 장위동 1등 고깃집입니다 👍👍",both
주공 장위직영,신아60,매장 깔끔하고 직원분들 넘넘 친절해요! 그리고 약간 레트로 느낌?! 고기도 너무 맛있고 자주 올 것 같아요오 :),both
주공 장위직영,lovely791229,"올때마다 느끼지만 직원분들이 너무 친절해서 아이들과 같이와도 부담없이 식사할 수 있어서 좋아요
더구나 맛도 있고 저녁 식사하기에 딱입니다 최고",both
주공 장위직영,strike200,"음식 맛 좋고 삼겹살 좋아해서
이번이3번째 방문 이었습니다.

올 때마다 친절하게 음식 서빙해주시고,
김치 곁들여 먹는 삼겹살이랑 맛있게
구워 먹었습니다.
아이동반으로 어린이 음료수도 
서비스로 제공 해주셔서 감사했습니다.
 
다만 먹다가 다른 손님이 큰 강아지 데리고
오셨고, 애견 동반 가능 식당 이라고 하셨는데..

좀 황당했습니다. 그건 몰랐고 상식적으로
이해가 안가는 부분입니다.

테라스 자리가 있어 반려동물 동반 가능하다
하셨는데 공간 분리 되지 않았었습니다.

알고서 방문한 게 아닌 저같은 입장에서는
많이 당황했고,
이점은 소비자에게 고지를 해야하는 
사항이라고 생각합니다.






",both
주공 장위직영,jake70,"고기 맛있고 분위기도 좋아 
너무 기분좋은 식사하였습니다.
사장님 뿐 아니라 직원분들도 모두 친절하시고 
즐겁게 일하시는 모습에 저희가 오히려 에네지를 얻고 갑니다.
지금도 잘되시지만 더 번창하기를 바랍니다.
감사합니다 ^^",both
주공 장위직영,whmm0508,밖에서 앉아서 먹기 분위기  좋네요 노래도 옛날감성!!!!!!짱입니다요,both
주공 장위직영,매운라면51,처음 왔는데 고기 냄새가 넘 좋네여 번창하세요^~^,both
주공 장위직영,wgr****,"사장님 이하 직원분들 엄청 친절하셔서 기분좋게 식사했어요!!
고기질도 좋아서 정말 맛있어요!!
집앞에 맛집이 생겨서 넘좋네요ㅎㅎ
앞으로 단골할게요!!",both
주공 장위직영,jake70,"사장님, 직원분들 항상 친절하시고 음식도 맛있어요! 삼겹살이 고기 질이 좋아서 바싹 굽지말고 적당히 익혀 먹으면 정말 더더더 맛있습니다👍👍
언제나 친절히 해주심에 감사드립니다~",both
주공 장위직영,dada1104,"너무 맛있어요
고기랑 고추장찌개도 맛있구요
비빔면?이랑 볶음밥도 맛있어요!!!!
저번주에 이어 또오는데 자주 올게요~",both
주공 장위직영,ykp4,젊은 분위기에 신나게 먹을슈있어욤..대패랑 삼겹 먹었는데 둘다 맛있었고 특히 마늘기름장이랑 고추장이 맛있네요!5,both
주공 장위직영,Ianism89,존.맛.입.니.다.,both
주공 장위직영,ssu****,"집앞에 생겨서 와봤는데
직원분들 친절하시고
맛도 굿굿!!!
짱 좋아요
자주 올게요
번창하세요^^",both
주공 장위직영,송정환33,존맛,both
주공 장위직영,마늘젤라투투,레트로컨셉에 쫄깃 꼬소한 고기를 먹는 맛!! 마지막에 볶음밥까지 필수!! 꼬소하니 맛나요,both
주공 장위직영,zl****,"분위기 짱
맛도 짱
가격도 짱",both
주공 장위직영,몬난이56,"집앞에 새로 생긴 고깃집이라서 가족이랑 왔는데
고기도 맛있고 친절하시구 분위기도 좋고 다 맘에 쏙 드네요♡
다음에 또 와야할것 같아용♡",both
주공 장위직영,하하99,미나리랑 고기 다진마늘 조합이 맛있어요!!!,both
주공 장위직영,dub****,너무 맛있고 직원분들도 너무 친절해요! 동네 맛집 하나 더 찾았습니당ㅎㅎ 가족들이랑 자주 올 것 같아요!🩵,both
주공 장위직영,uneex1209,"직원분들 친절하고 음식도 맛있어요!,
자주올것같요ㅎㅎㅎ",both
주공 장위직영,또치35,"일끝나고갔는데 짱마시써요!!!!!ㅠㅠㅠㅠㅠ
또방문할래여~~~ 고기도맛있는데
같이마오는 반참들 야채들 너무좋아요~~~!!!",both
주공 장위직영,달퐁65,반찬도 맛있고 가격도 싸고 너무 맛있어요! ,both
주공 장위직영,hyo****,너무 맛있어요 단체로 오기좋아요,both
주공 장위직영,Seo1083,"처음 와봤는데 정말 맛있습니다!!
앞으로 자주 와야될 것 같습니다.
최고입니다!!",both
주공 장위직영,eli****,매장이 깨끗하고 고기 상태가 좋아요! 이번에 처음 방문 했는데 다음에도 다시 방문할 것 같아요! 서비스도 굳굳… 잘먹겠습니다……,both
주공 장위직영,이슬맺힌백일홍씨,"5
드디어 주공에 입성!!!
지날때마다 항상 웨이팅 줄만 보다가
드뎌 오늘 처음 와보네요ㅎㅎ
고기질 괜찮고  맛있네요. 번창하세요~",both
주공 장위직영,bsh****,좋아요.,both
주공 장위직영,차차5118,고기 신선하고 맛있어요 소주각 지대로에요❤️❤️,both
주공 장위직영,친절한에밀리님,"고기 너무 맛있고 미나리를 같이 구워먹는게 특색있고
친절하고 깔끔해요",both
주공 장위직영,소연97,"밑반찬 다맛있고 소주한잔하기 분위기도좋은곳 
다음에또올께옹 (۶•̀ᴗ•́)۶",both
주공 장위직영,두부탕데이지,요즘세상에 만나기 어려운 가격대이고 구성이 아주 좋네요.. 미나리 추가 추천드립니다,both
주공 장위직영,리히25,"동네에 새로 생겨서 남편이랑 와보자 하고 오늘 갔는데 고기가 얇아서 금방 구워져요 :) 
고기 신선하고 맛있어요 직원분들도 친절해서 기분좋운 식사했습니다 😁🩷",both
주공 장위직영,녀이,너무너무 고기가 맛있어요~^^ 찌개도 간이 딱 맞아 좋네요~ 김치도 맛있어요!,both
주공 장위직영,쟌7,분위기 좋고 고기도 짱짱 맛있어요!!,both
주공 장위직영,투투2236,"레트로느낌에 고기도맛있고 친절해서 너무좋아요!!
다음에또올게요",both
주공 장위직영,jiy****,"동네에 새로 생겨서 와봤는데 맛있습니다~고기에서  냄새도안나고 직원분들도 친절하시고  고추장찌게는 정말 최고!!!!!!  
",both
주공 장위직영,ㅇㅇㄹㄹㄹㄹㅇ,오픈하고 자주 먹으러 오는데 올때마다 사장님과 알바분들 모두가 너무 친절해서 기분이 너무 좋아요~🙌🙌😆 ,both
주공 장위직영,삐약3930,분위기도 레트로해서 좋은데 가게도 깨끗하고 맛있어요,both
주공 장위직영,배고파4932,"저번에 우연히 들렸다가 맛있어서 또 방문함요🤍
이번엔 강아지 델꾸와서 밖에 앉았는데 가을뷰 좋아요~!",both
주공 장위직영,라하베,"고기가 맛있어요!
물쫄면이 차갑고 쫄깃해서 오히려 냉면보다 고기랑 더 잘 어울리는 것 같아요
추천합니당👍🏻",both
주공 장위직영,kan****,먹다가찍었네요  직원분들도 친절하시고  고기도 맛있어요  고추장찌개시켰는데 고기도 듬뿍들구  좋았습니다.,both
주공 장위직영,승여이78,"음식도 맛있고, 인테리어도 최곱니다!! 된장찌개가 특히나 존맛탱 ㅠㅠㅠ 
",both
주공 장위직영,dl****,너무 맛있어요! 김치 꼭 구워드세요 ,both
주공 장위직영,Solee,"마싯어용 !!!!!! 집근처에 생갸서 너무좋아요
",both
주공 장위직영,hoo****,"맛있고
구성좋고
친절하고
대체불가",both
주공 장위직영,호국,완전 맛잇습니다. 서비스 최고 친절 만땅,both
주공 장위직영,옥수수3166,목살이 더 맛있우요. 삼겹살보다 ㅎㅎ 분위기 좋아서 또 올듯 ~,both
주공 장위직영,종알비행기,선선한 가을 날 동네에서 먹기 좋은 고기집이에요 ! 잘 먹었습니다~,both
주공 장위직영,zn5****,새로 생겨서 왔는데 너무 맛있어요!! 강추,both
주공 장위직영,아이끌레이,"오픈한지 얼마안되서 한번 가봐야지 벼르고 있다가
테이블이 비어있어서 냉큼 들어갔네요
일단 고기양 너무 적어서 한번 놀랐어요
된장찌개 5천원 볶음밥4천원 진짜
제대로 나오는줄 알았으나 그냥 그랬어요
맛없진 않은데 그가격보다 더 저럼한
맛난고깃집이 많은게 함정 ",both
주공 장위직영,힝구855,고기 맛있어용 !!!! 미나리 꼭 추가해서 같이 드세용~~~~~~~~~,both
주공 장위직영,참취82,"고기 너무 맛있고, 직원분들 친절해서 너무 좋아요!
노래 완전 취저~~
",both
주공 장위직영,fin****,넘 맛있게 친구들과 조은 시간 보냈어요^^ 감사합니다!!!,both
주공 장위직영,찌니찌니룽,"동네에 이런곳이 생겨서 너무 좋아요!
또와야지이이헤헿",both
주공 장위직영,뚝딱맘64,"동네에 이런곳이 생기다니👏🏻👏🏻
맛있게 먹겠습니당😋",both
주공 장위직영,jake70,"일주일동안 두 번 갔습니다🙏🏻
맛도 맛이지만 사장님, 직원분들 모두 친절하세요.
그래서 더 가고싶은 집. 동네에 늦게까지 하는 곳이 없는데 늦은 시간까지 열어주셔서 감사해요🥹",both
주공 장위직영,juh****,"맛있어요! 
직원분들도 친절하시구 김치 콩나물 볶음밥 된장찌개 다 맛있어요!!",both
주공 장위직영,먹는거에 진심인 여자,맛있어요~❤️ 아이들에게 서비스로 주시는 뽀로로도 좋고 고기가 맛있습니다,both
주공 장위직영,lyul1,"가게 청결하고 미나리 삼겹살 넘 맛나유~
가족 모임하기도 좋습니다.",both
주공 장위직영,tasotaso,고기맛은좋은데 양적고 (가격만큼이예요) 너무앏아요.참고하세요.직윈분들 진짜친절해요👍👍,both
주공 장위직영,ryu****,"동네에 이런 곳 생겨서 좋아용
",both
주공 장위직영,기지륜,새로 생겨서 와봤는데 너무 맛있네요.,both
주공 장위직영,라카쿠니,진짜 옛날 스타일 삼겹살이에요. 예전에 집에서 먹거나 외식할 때 먹는 얇은 삼겹살인데 빨리 익어서 배고플 때 좋고 두꺼운 삼겹살이랑은 다른 매력이 있는거 같아요!,both
주공 장위직영,네42,오픈한지 얼마 안되는고깃집인것 같은데 처음 와봤습니다! 직원분들이 너무 친절하시고 고기도 정말맛있었어용 집근처에서 간단히 술이랑 먹기에 딱 좋은것같습니다!!!,both
주공 장위직영,oop****,집근처 새로생긴 고깃집. 한돈 대패삽겹 맛나요. 깔끔합니다,both
주공 장위직영,omg****,고기가 맛있어요!,both
주공 장위직영,티니핑1,"특별한 메뉴가있고
맛있어요",both
주공 장위직영,O뽀또O, 존맛탱,both
주공 장위직영,hi****,미나리에 곁들여 먹으니 너무맛있어요!!!!,both
주공 장위직영,지니36951,삼겹살에 김치랑 미나리 같이 먹으니까 짱 맛있어요😙 특히 비빔냉쫄면 맛집이에요~~~ 꼭 시켜드세요👍,both
주공 장위직영,tha****,집근처여서 새로 생겨 왔는데 깔끔하고 가성비 너무 좋습니다,both
주공 장위직영,김진국75,새로 오픈하였는데 맛있고 가성비가 좋아 요,both
주공 장위직영,내맘 쑥,굿,both
주공 장위직영,anna flow,고기가 좀 얇아요 ㅠㅠ ,both
주공 장위직영,par****,너무 맛있어여 자주올듯,both
주공 장위직영,서터를누른다,삼겹살4 +목살2 +미나리바구니 +볶음밥_괜찮아요,both
주공 장위직영,btw9,미나리에 싸먹으면 맛있어요~ 볶음밥도👍🏼,both
주공 장위직영,ryan88,너무맛잇어요 사진을못찍은게 너무 아쉬워요ㅠ,both
주공 장위직영,ghk****,직원분들이 친절하고 맛있어요💗,both
주공 장위직영,shm****,잘먹었습니다♡,both
주공 장위직영,dbd****,테라스석에서 여유 느끼면서 외식하기 좋습니다~,both
주공 장위직영,11881,맛있어요ㅎㅎ,both
주공 장위직영,배동한33,음식이 맛있어요,both
주공 장위직영,반짝785,ㄱㄱ,both
주공 장위직영,Answer0613,맛있어요^^,both
주공 장위직영,팔색조맘71,좋어요,both
주공 장위직영,les****,"맛있어요
",both
주공 장위직영,seo****,"깨끗하게 깔꼼하게 다머금 👍
생겻을때부터 오고싶엇는데 드디어 와뜸!
장위동에서 미나리와같이먹을수잇는 삼겹살집이
흔치않은데 같이먹을수 있어서 좋음 ! 굿굿
재방문의사 10000000%
고기도 직접구워주시고,먹는 방법도 적혀잇는데 다시한번 설명해주시고, 사장님 짱 👍
보끔밥은 말해뭐하나용ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
존맛탱구리 ㅎㅎㅎㅎㅎㅎㅎㅎ🤍
다음엔 목살 픽🥩🫰❤️
",both
주공 장위직영,cae****,"깔끔하고 맛있어요
매장분위기가 아주 좋아요~",both
주공 장위직영,노마드Ri,🥩=👍,both
주공 장위직영,nhr772,동네에 맛집이 생겨 좋아요. 고가가 부드럽고 맛있어요.,both
주공 장위직영,수박이95,"장위동 냉삼맛집
미나리 구워먹을수 있고
양념장도 너무 맛있어요
비빔쫄면 최고!!",both
주공 장위직영,nmn****,맛있어요~~~~,both
주공 장위직영,yah****,분위기좋고 친절해서 또오고싶어요♡,both
주공 장위직영,dus****,좋아여,both
주공 장위직영,wjd****,좋아여,both
종로전집 광운대역,메롱9740,전이 먹고싶어서 와봤는데 너무 맛있었어요! 간만에 맛집찾아서 너무좋아요! 맨날 가던 밥집 가던 술집만 갔었는데 여기 추천해요! 육전에 고기도 푸짐하고 새콤한 밑반찬이랑 엄청 잘어울려요~! 글구 이모님이 친절하고 예쁘세요!!ㅎㅎ ,both
종로전집 광운대역,연율,"사장님 너무 친절하고 상냥하셔요~
전도 너무 맛있고 해물라면도 진짜 알차게 양도 많고 맛있어요~ 가성비도 너무 좋네요 다음에 또 올게요~ ",both
종로전집 광운대역,aabc11z,너무 맛있어요 올때마다 가게 꽉차있어요,both
종로전집 광운대역,한민재,진짜 너무 맛있어요. 여기 이가격에 이 정도라는게 말이 안됩니다. 사장님도 너무 친절하시고 특히 해물파전에 보리새우인가 어떤새우인지 모르겠지만 너무 맛있어요 ㅎㅎ 이게 너무 실하다 보니까 너무너무 맛있어요 혹시 양파절임 필요하시면 더 가져다 드셔도 됩니다. 어머님처럼 너무 좋은 마음으로 대접해주셔서 감사합니다. ,both
종로전집 광운대역,aabc11z,이집 전이 생각나서 재방문 했어요 전에는 토핑이 양파였는데 양배추샐러드로 바뀌었더라구요? 양배추샐러드가 너무 맛있어요!!! 생양파를 못 먹어서 전엔 살짝 아쉬웠는데 양배추샐러드는 훨씬 잘 어울리고 맛있어요 또 올게요~,both
종로전집 광운대역,gm****,"깻잎전이 너무 맛있어요 계속 생각 날 거 같아요

두부김치도 고기도 많고 김치도 정말정말 맛났어요 
해물파전도 맛있어 보이더라고요
다음에 가면 해물파전과 해물라면을 먹을 예정입니다
맛있게 잘 먹었습니다!",both
종로전집 광운대역,hjello,사장님이 너무 친절하시고 전이 맛있었어요. 특히 라면이 진짜 가성비가 좋아요! 전에 한 번 갔을 때 해물순두부도 먹었는데 진짜 맛있었어요!!! 학교 앞에 이런 전집 생긴거 너무 좋아요!!,both
종로전집 광운대역,신하얀15,사장님이 친절하고 음식이 맛있고 가게가 조용해요 ,both
종로전집 광운대역,짝꿍땡이,ㆍ,both
종로전집 광운대역,원래정수정은천재라서53,"해물라면에 해물이 진짜 질리도록 있어요
그리고 해물라면 이 가격에 무슨 가리비 들어가있고 바지락 오징어 홍합 등등이 국자로 퍼도 퍼도 나와요ㅠ 대혜자인데 사장님 뭘로 장사 하시는지 모르겠어요
그리고 두부김치 진짜 두부 왕 부드럽고 김치 많이 안 달고 딱 술안주 하기 너무 좋았어요
여기 진짜 단골 될 듯 맛집 소문 나서 사람 많아지기 전에 자주 오려고 합니다ㅠㅠㅠ 
너무너무 친절하신 사장님 오픈하신지 얼마 안 된 것 같은데 돈길만 걸으세요ㅠㅠ 저 오래오래 가게...",both
종로전집 광운대역,뜌222,"사장님도 너무 친절하시고 음식이 정말 맛있어요❤️
옆 테이블 해물라면 먹던데 양이 어마무시해요
다음에 꼭 먹어어겠어요!!!",both
종로전집 광운대역,wks****,"사장님 친절하심니다
맛있구요",both
종로전집 광운대역,jun****,맛나요 ,both
종로전집 광운대역,jbong6264,굿입니다 ,both
만남곱창,bim****,광운대 근처 곱창집인데 항상 사람 많아서 궁금했어용 ㅎㅎ 간이 안세서 맛있어요 치즈메뉴도 있었음 좋겠어요,both
만남곱창,슾커리,양배추가 많이 들어가서 너무 자극적이지 않게 맛있어요~2인분 기준으로 3명이서 밥이랑 같이 먹어도 괜찮을정도로 가성비 괜찮아요😀,both
만남곱창,레몬에이드5161,알막창 야채곱창 막창구이 맛있어요,both
만남곱창,힝35,"학생때부터.. 자리 이전하기전부터 다녔던 곳입니다.
이젠 가지않겠습니다.

가게 이전하고 저번에도 왔지만 야채곱창에서 냄새나서
방문하기 싫었지만, 막창/알막창양념구이 먹으러 또 방문했습니다.

막창소금구이 1인분
알막창양념구이 2인분 
같이주문했습니다.

막창소금구이 먼저나오고..
알막창양념은 계속 나오지않고
우리가 온뒤로 테이블하나, 포장손님하나, 테이블하나
다~ 나가는데 저희가시킨건 계속 안나오네요..

포장손님도 저희 오고나서 전화받으셨잖아요

참다참다 가서 말씀드렸는데
결국 취소하고나왔습니다.

조리는 들어갔는지 혹시나 나오기전에 확인했으나
이제 들어가려고했는데 라고..
들어가지도 않았네요
혼자하시는거 이해해도
순서는 지키셔야죠..40분차이나게 주문한 음식이 나오지않는건
너무하지않습니까..",both
만남곱창,ililililiilil,굿,both
만남곱창,먹돈쓰,평범함,both
만남곱창,hyz****,맛있고 양도 많고 좋았습니다~ 사장님 넘나 친절하셔요~~ 생각하니 또 먹고싶네요~,both
만남곱창,기면기고아님아니재,"너무 너무 너무 추워서 얼어죽는 줄..
음식이 빨리 나오는것도 아니고
더 먹고 싶어도 추위에 기다릴 자신 없어서 후퇴 다른 곳가서 다른거 먹음
나오면서 다른 메뉴는 무조건 따뜻한곳으로 가자였음",both
만남곱창,행보카게,"일터와가까워자주갑니다.
맛있어요",both
만남곱창,알콩달콩 새댁,양이적어요,both
만남곱창,미리뽕81,맛있어요,both
만남곱창,캐슬란55,자리 옮기시고나서 매장은 더 깔끔해졌어요 ! 대신 초큼 좁아서 아쉽네요 ㅋㅋ 역시나 뭐 맛이랑 푸짐한 양은 여전해요  감사합니다 !! ,both
만남곱창,아이사랑34,맛있어요,both
만남곱창,120985819,친절하세요,both
만남곱창,sunnysunday,싸요,both
만남곱창,꼼꼼냥냥,"막창 양념이 맛있어요!!
볶음밥은 김치볶음밥같은 느낌이고 양이 엄청 많아요!!
저는 항상 먹창양념이랑 볶음밥 조합으로 먹어요!",both
만남곱창,해삐쥬쥬,알막창양념 매콤하고 맛있어요!!,both
만남곱창,힝35,.,both
만남곱창,눈아이32,좋아요 ,both
만남곱창,서희945,"가게이전 후 처음 먹어보네요 ㅎㅎ
혼자살아서 일인분을 배달로 야곱시키기 좀 뭐했는데
전화주문하니 10분만에 포장 완료!
양도 완전 넉넉하고, 제일 좋았던건 간이 안쎄서 좋습니다 :)
양념 + 데리야끼 맛이 납니다! 같이 양념 따로 주셔서 자극적이게 먹고 싶으면 추가해서 섞으면 될 듯 하네요!
번창하세요!",both
만남곱창,TY49,굿,both
만남곱창,고굼자,"재방문 의사 없음.

기존의 유명했던 곳 생각하고 갔는데
길건너 작은 점포로 이전했음.(주인 바뀐듯)

[후기]
1. 한파에 난방이 제대로 안갖춰져서 덜덜 떨며 먹고나옴.
2. 야채곱창 1인분과 막창양념 1인분 주문했는데
야채곱창 1인분 먼저 나옴.
다먹어갈때쯤 막창 요리하는가 싶더니 새로 들어온 손님이 막창 주문하자 그 테이블로 갖다줌.
한참 기다리다 짜증나서 언제 나오냐 물어보니 ""지금하고있어요"" 
- 미안한 기색 1도 없음.
3. 식사하는동안 매장식사 2팀, 포장 2팀 다녀갔는데 전부 탄산음료를 서비스라며 제공함. 난 못받음.

[총평]
기분 좋게 가서 먹었는데, 기분 나쁘게 나옴.",both
만남곱창,sunnysunday,조아요~,both
만남곱창,ㅇㅇㅇ3257,좋아요,both
만남곱창,sunnysunday,맛있어요!,both
만남곱창,아들둥맘46,굿,both
만남곱창,kra****,굿,both
만남곱창,kim****,조아요 ,both
만남곱창,hyz****,맛있어요,both
만남곱창,일일일일입니다,"광운대역근처 살면서 고등학생때부터 결혼하고나서도 먹고있어요.ㅎㅎ여전히맛있구 최고인데!
근데 왜 배달할때보다 양이 적어진기분ㅠㅎㅎ",both
만남곱창,kim****,굿,both
만남곱창,alt****,좋아요,both
만남곱창,빵조앙이,.,both
만남곱창,다오니8871,굿,both
만남곱창,KzKzKz,맥주도 서비스로 주시고 엄청 친절해요!!,both
만남곱창,0iiiii,"여기는 광운대맛집으로 인정♡
1인분포장인데도 친절하신것도 넘 감사드려요^^",both
만남곱창,오오이91,막창구이못먹는1인도 좋아한  냄새안비리고 ~  또먹고싶은곳!  맛있어서 기억난곳   또가야지,both
만남곱창,쏠트1004,"오래된 곳은 다 이유가 있죠
늘 맛있고 친절하세요",both
만남곱창,shl****,.,both
만남곱창,hhhh6958,싸고 좋아요,both
만남곱창,또50,맛있어요,both
만남곱창,clz****,^,both
만남곱창,Eunhyekieri,맛나고용 두사람이 잘 먹었습니다,both
만남곱창,comet1008,맛집이네요,both
만남곱창,혜릴,맛있어요,both
만남곱창,은총1,막창구이 언제 먹어도 너무 맛있어요!,both
만남곱창,반짝반짝653,추억의 만남곱창 맛나요^^,both
만남곱창,shl****,청결좀 신경써주세요,both
만남곱창,실비아8367,만남곱창  맛짱,both
만남곱창,Eungyo,"만남곱창 소금구이막창이 짱!!
음료수 서비스 짱!!
보끔밥은 먹지 마세요>_<",both
만남곱창,SY0407,자주 가지만 늘 맛있고 저렴함!!,both
만남곱창,펄아쿠아그린,"테이블이 너무 더러워요ㅠㅠ
숟가락이랑 젓가락이랑 컵들도 다 뭐가 뭍어있음..ㅠ",both
만남곱창,알콩달콩 새댁,"방문시 음료혹술 한병공짜
배달주문시,오돌뼈,음료공짜",both
만남곱창,알록ilog,"#광운대맛집
엄마랑 곱창 땡길때 종종 먹어요. 맛있습니다!",both
만남곱창,우애앵,간이좀쎄긴한데맛있어요 근데30분기다림 야채곱창..,both
만남곱창,얌냠56,주문하면 음료나 술 한병 주신다고 해서 간건데 없었어요 ㅠ맛은 있습니다,both
만남곱창,달빛천사27,곱창 맛있어요,both
만남곱창,동우69,먹을만해용,both
만남곱창,솔직한리뷰씁니다,"곱창, 막창 둘다 냄새많이안나고 맛있습니다^^",both
만남곱창,솔직한리뷰씁니다,곱창에서 냄새안나고 맛있어요!!!!,both
만남곱창,1866,"주류 한병 서비스라 좋아요~
맛도 있고 양도 많아서 좋아요~~",both
만남곱창,잉챠라떼,여기 가격대비 짱 죠어요 ㅜ 맛있구요. 테이블당 음료도 공짜고 밑반찬도 맛나요,both
김바삭군의볼카츠마켙 광운대점,안군세상,ㅇ,both
김바삭군의볼카츠마켙 광운대점,팬더고양이,ㅇ,both
김바삭군의볼카츠마켙 광운대점,May927,맛있게 먹었습니다 🙏🏻,both
김바삭군의볼카츠마켙 광운대점,조용이86,"추억의맛인데 그것보다 더 맛있어요.
감튀가 너무 맛있어서 좀 놀람…",both
김바삭군의볼카츠마켙 광운대점,oh1****,바싹바싹 옴놈뇸,both
김바삭군의볼카츠마켙 광운대점,쓰으응으응,맛있었어요! 타코야끼랑 비슷한 느낌이라 가격에 비해선 아쉽긴 했어요ㅠ,both
김바삭군의볼카츠마켙 광운대점,뚜1092,2차로 포장해서 집에서 안주로 하기 딱 좋아영 소스도 넉넉히 많이 뿌려주시고 따뜻할때도 식었을때도 다 맛있습니다~,both
김바삭군의볼카츠마켙 광운대점,재민맘3210,좋아요,both
김바삭군의볼카츠마켙 광운대점,젤리쥬,굿,both
김바삭군의볼카츠마켙 광운대점,jun****,굿,both
김바삭군의볼카츠마켙 광운대점,Elpsyche,볼카츠 궁금했는데 추운날 스프까지 같이 먹어서 더 좋았던 것 같아용,both
김바삭군의볼카츠마켙 광운대점,JOYjoy,맛있어요!,both
김바삭군의볼카츠마켙 광운대점,hjs****,좋아요,both
김바삭군의볼카츠마켙 광운대점,kim****,조아요,both
김바삭군의볼카츠마켙 광운대점,세탁기63,좋아요,both
김바삭군의볼카츠마켙 광운대점,정진욱96,굿,both
김바삭군의볼카츠마켙 광운대점,빵상37,좋아요,both
김바삭군의볼카츠마켙 광운대점,kim****,굿,both
지지고 광운대점,느낀대로 리뷰,아주 맛나용 양도 많고! ㅎㅎㅎ,both
지지고 광운대점,콩콩맘56,굳,both
지지고 광운대점,반달2141,음식은 맛잇고 양도 많은데 매장에서 먹는건 비추,both
지지고 광운대점,큐피트57,좋아요,both
지지고 광운대점,느낀대로 리뷰,가끔씩 지지고 땡기는 날이 있어용,both
지지고 광운대점,나이다솔,굿,both
