음식점,리뷰,지도
윤스쿡,아니 250g의 돼지고기를 1만원에 근데 맛있다니  가만 아쉬운 점은 히레가츠 씹다가 입천장이 까짐 ㅎㅎ,kakao
윤스쿡,갈 때마다 한결같아요 최고에요 ,kakao
윤스쿡,이 가격에 이정도 퀄리티라니 우동도 맛있어요 ㅜㅜ사람들 꽉 차는 이유를 알겠네욤 흐흐 낼 또가야지,kakao
윤스쿡,숨은 돈까스 맛집 가격올리고 번화가에서 장사하셔도 될듯,kakao
윤스쿡,솔직히 갓성비  어딜 내놔도 아깝지 않은 퀄리티   정말 최고야,kakao
윤스쿡,팡운머최고맛집,kakao
윤스쿡,좀 비싸지만 질 좋고 맛있어서 돈 아깝지 않아요 가게도 깨끗해요,kakao
윤스쿡,돈까스너무맛있어요 팡대생의 추천맛집,kakao
라체나1907,가지 미트 파스타,kakao
라체나1907,가족 친목모임 간거였는데 조명이 어두워요 글씨 읽을때 눈에 힘이 들어가서 분위기가 아니라 그냥 위기에요  점원분 향수인지 전자담배인지도 너무 진해요 역합니다  크림스프는 크루통맛만 나요 루에 가까워요 후추는 요청하니 주셨어요  파스타는 면이 스파게티니라 소스와 먹기 힘들어요 집게도 불편해요 이게 오일파스타인줄 아시나봐요  미트 소스는 간 돼지고기가 상태가 영 그렇고 가지 한개 정도 쓰는 거 같아요 청양크림 소스는 청양고추가 아니라 베트남 고추가 잔뜩 들어있는데다 크림이 텁텁하고 느끼해요 상대적으로 미트소스가 나아요 재룟값 절약을 잘 하시네요   스테이크는 소금을 너무 많이 뿌렸어요 가니시도 무척 짜요   전반적으로 맛없습니다,kakao
라체나1907,데이트 하기엔 괜찮은 적당히 소소하고 친절하고 아늑한  2인세트  스테이크 280변경  근데 맛은 제 스타일이 아니네요,kakao
라체나1907,다 맛있어요,kakao
라체나1907,석계역에 이런 곳이 있다는 사실만으로 감사할 따름입니다 맛도 가격만큼은 하고요 인당 3만원 정도에 배불리 분위기 좋은 식사할 수 있어요 사진은 레드화이트 와인 엔쵸비 파스타 스테이크예요,kakao
라체나1907,청양 파스타랑 머쉬룸 스테이크 맛있었어요,kakao
라체나1907,친구랑 먹으러 갔었는데 전혀 기억에 남지 안는맛이네요  이 돈으로 더맛있는거 먹으러 가세요,kakao
라체나1907,맛은 있는데 남자 사장이 뭔가 이상함 지인이랑 스테이크랑 파스타 시켰는데 고기가 품절이라 다른거 시켜야한다고 말씀해주심 내 지인은 스테이크 먹으러 온거라 좀 실망했었음 근데 그거 보고 다시 주방에서 나와서 뭐 기분 나쁜거 있으세요 이런식으로 시비트듯이 손님 기분을 파악하려고듦 ㅋㅋㅋ 뭔가 저 말투랑 매너가 기분이 안좋았음  사장과 별개로 파스타는 진짜 개존맛이라 별3개,kakao
라체나1907,크림소스 맛이 좀 달고 뭔가 깔끔하진 않네요 면 삶기는 좋았습니다 너무 매운 고추가 많이 들어가 있고 맛의 밸런스가 안 맞아요,kakao
라체나1907,맛있어요 석계역에 이런 곳이 있다니,kakao
라체나1907,맛은 괜찮아요허나 양이 넘 적어요사이즈업 메뉴도 없고 ㅜㅜ,kakao
라체나1907,맛있어요 석계역에 이런분위기의 가게가 있다니 가성비도 좋고 맛도 좋아요,kakao
라체나1907,진짜 맛있어요 가격대비 훌륭해요 특히 석계역에 이런 맛있고 분위기 좋은 레스토랑이란ㅠㅠ 진짜 귀한것 근데 딱한가지 단점이 모든 메뉴가 좀 매워요ㅠㅠㅠ 안 맵게 해달라고 말씀드리는거 필수,kakao
라체나1907,직원분이 친절하시고  음식의 양도 적당하고 맛있습니다,kakao
